# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct  5 07:46:25 2024
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
pl_name,hostname,sy_snum,sy_pnum,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2
HD 64121 b,HD 64121,1,1,07h49m27.63s,117.3651424,-54d48m45.41s,-54.8126136,129.9660000,0.4870000,-0.4870000
HD 6434 b,HD 6434,1,1,01h04m39.92s,16.1663441,-39d29m25.77s,-39.4904909,42.3580000,0.0756000,-0.0752000
HD 65216 b,HD 65216,3,2,07h53m41.03s,118.4209646,-63d38m48.08s,-63.6466892,35.1205000,0.0395000,-0.0394000
HD 65216 c,HD 65216,3,2,07h53m41.03s,118.4209646,-63d38m48.08s,-63.6466892,35.1205000,0.0395000,-0.0394000
HD 66141 b,HD 66141,1,1,08h02m15.91s,120.5662825,+02d20m06.10s,2.3350265,68.1509000,2.1134500,-2.1134500
HD 66428 b,HD 66428,1,2,08h03m28.60s,120.8691654,-01d09m48.97s,-1.1636019,53.2817000,0.2180000,-0.2162000
HD 66428 c,HD 66428,1,2,08h03m28.60s,120.8691654,-01d09m48.97s,-1.1636019,53.2817000,0.2180000,-0.2162000
HD 67087 b,HD 67087,1,2,08h07m39.74s,121.9155672,+31d33m04.16s,31.5511553,76.5217000,0.3315000,-0.3287000
HD 67087 c,HD 67087,1,2,08h07m39.74s,121.9155672,+31d33m04.16s,31.5511553,76.5217000,0.3315000,-0.3287000
HD 6718 b,HD 6718,1,1,01h07m48.86s,16.9536005,-08d14m01.02s,-8.2336165,51.3444000,0.1393000,-0.1385000
HD 68402 b,HD 68402,1,1,08h05m23.39s,121.3474609,-74d24m36.26s,-74.4100732,78.4293000,0.0963000,-0.0962000
HD 6860 b,HD 6860,1,1,01h09m43.91s,17.4329790,+35d37m13.80s,35.6204990,61.1246900,2.8395300,-2.8395300
HD 68988 b,HD 68988,1,2,08h18m22.45s,124.5935429,+61d27m39.07s,61.4608518,60.8447000,0.1918000,-0.1906000
HD 68988 c,HD 68988,1,2,08h18m22.45s,124.5935429,+61d27m39.07s,61.4608518,60.8447000,0.1918000,-0.1906000
HD 69123 b,HD 69123,1,1,08h14m13.20s,123.5549900,-35d29m23.73s,-35.4899246,75.1160000,0.3524500,-0.3524500
HD 69830 b,HD 69830,1,3,08h18m24.24s,124.6010091,-12d38m11.13s,-12.6364246,12.5591000,0.0097000,-0.0096000
HD 69830 c,HD 69830,1,3,08h18m24.24s,124.6010091,-12d38m11.13s,-12.6364246,12.5591000,0.0097000,-0.0096000
HD 69830 d,HD 69830,1,3,08h18m24.24s,124.6010091,-12d38m11.13s,-12.6364246,12.5591000,0.0097000,-0.0096000
HD 70573 b,HD 70573,1,1,08h22m49.90s,125.7079153,+01d51m32.79s,1.8591088,59.1820000,0.1565000,-0.1558000
HD 70642 b,HD 70642,1,1,08h21m27.87s,125.3661079,-39d42m16.00s,-39.7044432,29.2760000,0.0276000,-0.0275000
HD 7199 b,HD 7199,1,1,01h10m47.50s,17.6979344,-66d11m19.30s,-66.1886947,36.1531000,0.0364000,-0.0364000
HD 72490 b,HD 72490,1,1,08h33m36.68s,128.4028287,+13d33m02.59s,13.5507189,126.3390000,1.0915000,-1.0915000
HD 72659 b,HD 72659,1,2,08h34m03.07s,128.5128072,-01d34m07.08s,-1.5686323,51.8949000,0.1451000,-0.1442000
HD 72659 c,HD 72659,1,2,08h34m03.07s,128.5128072,-01d34m07.08s,-1.5686323,51.8949000,0.1451000,-0.1442000
HD 72892 b,HD 72892,1,1,08h34m52.69s,128.7195554,-14d27m26.75s,-14.4574311,69.7311000,0.1871000,-0.1862000
HD 73256 c,HD 73256,1,1,08h36m22.80s,129.0949961,-30d02m14.40s,-30.0373339,36.7080000,0.0562000,-0.0559000
HD 73267 b,HD 73267,1,2,08h36m17.64s,129.0735123,-34d27m34.01s,-34.4594469,50.4093000,0.0729000,-0.0726000
HD 73267 c,HD 73267,1,2,08h36m17.64s,129.0735123,-34d27m34.01s,-34.4594469,50.4093000,0.0729000,-0.0726000
HD 73344 b,HD 73344,1,1,08h38m45.47s,129.6894456,+23d41m06.95s,23.6852651,35.2600000,0.0526000,-0.0525000
HD 73526 b,HD 73526,1,2,08h37m16.40s,129.3183310,-41d19m06.32s,-41.3184231,97.2396000,0.3235000,-0.3214000
HD 73526 c,HD 73526,1,2,08h37m16.40s,129.3183310,-41d19m06.32s,-41.3184231,97.2396000,0.3235000,-0.3214000
HD 73534 b,HD 73534,1,1,08h39m15.68s,129.8153421,+12d57m35.89s,12.9599703,83.3321000,0.3702000,-0.3702000
HD 73583 b,HD 73583,1,2,08h38m45.19s,129.6883026,-13d15m23.50s,-13.2565267,31.5666000,0.0321000,-0.0320000
HD 73583 c,HD 73583,1,2,08h38m45.19s,129.6883026,-13d15m23.50s,-13.2565267,31.5666000,0.0321000,-0.0320000
HD 74156 b,HD 74156,1,2,08h42m25.15s,130.6047813,+04d34m38.04s,4.5772338,57.6030000,0.1613000,-0.1604000
HD 74156 c,HD 74156,1,2,08h42m25.15s,130.6047813,+04d34m38.04s,4.5772338,57.6030000,0.1613000,-0.1604000
HD 7449 b,HD 7449,2,1,01h14m29.15s,18.6214650,-05d02m52.70s,-5.0479716,38.6620000,0.0650000,-0.0648000
HD 74698 b,HD 74698,1,2,08h40m17.87s,130.0744755,-71d52m36.74s,-71.8768726,52.0648000,0.0760000,-0.0758000
HD 74698 c,HD 74698,1,2,08h40m17.87s,130.0744755,-71d52m36.74s,-71.8768726,52.0648000,0.0760000,-0.0758000
HD 75289 b,HD 75289,2,1,08h47m40.36s,131.9181715,-41d44m15.99s,-41.7377748,29.1158000,0.0240000,-0.0240000
HD 75302 b,HD 75302,1,1,08h49m12.38s,132.3015641,+03d29m06.05s,3.4850141,30.3288000,0.0605000,-0.0604000
HD 75784 b,HD 75784,1,2,08h52m23.81s,133.0992289,+13d13m59.00s,13.2330548,85.4321000,0.5255500,-0.5255500
HD 75784 c,HD 75784,1,2,08h52m23.81s,133.0992289,+13d13m59.00s,13.2330548,85.4321000,0.5255500,-0.5255500
HD 75898 b,HD 75898,1,1,08h53m50.69s,133.4611999,+33d03m24.08s,33.0566885,78.0505000,0.3040000,-0.3016000
HD 76700 b,HD 76700,1,1,08h53m54.77s,133.4782248,-66d48m01.71s,-66.8004747,60.8831000,0.1175000,-0.1171000
HD 76920 b,HD 76920,1,1,08h55m16.88s,133.8203530,-67d15m55.30s,-67.2653621,184.0310000,1.0270000,-1.0170000
HD 77338 b,HD 77338,1,1,09h01m12.54s,135.3022475,-25d31m41.64s,-25.5282343,45.9350000,0.0753000,-0.0751000
HD 77946 b,HD 77946,1,1,09h07m06.63s,136.7776440,+46d40m20.73s,46.6724251,99.4510000,0.3632000,-0.3607000
HD 79181 b,HD 79181,1,1,09h11m58.67s,137.9944736,-19d44m50.76s,-19.7474341,103.3350000,0.9950000,-0.9950000
HD 7924 b,HD 7924,1,3,01h21m58.96s,20.4956562,+76d42m36.53s,76.7101475,16.9922000,0.0072000,-0.0072000
HD 7924 c,HD 7924,1,3,01h21m58.96s,20.4956562,+76d42m36.53s,76.7101475,16.9922000,0.0072000,-0.0072000
HD 7924 d,HD 7924,1,3,01h21m58.96s,20.4956562,+76d42m36.53s,76.7101475,16.9922000,0.0072000,-0.0072000
HD 79498 b,HD 79498,2,1,09h15m09.26s,138.7885794,+23d22m29.57s,23.3748792,48.9489000,0.1776000,-0.1763000
HD 80606 b,HD 80606,2,1,09h22m37.67s,140.6569501,+50d36m13.60s,50.6037764,66.4711000,0.1612000,-0.1604000
HD 80653 b,HD 80653,1,2,09h21m21.38s,140.3390845,+14d22m04.33s,14.3678691,109.8600000,0.8110000,-0.8000000
HD 80869 b,HD 80869,1,1,09h23m09.91s,140.7912931,+33d54m17.39s,33.9048294,85.3951000,0.5374000,-0.5308000
HD 80883 b,HD 80883,1,1,09h19m43.96s,139.9331831,-59d28m41.09s,-59.4780815,34.6011000,0.0576000,-0.0574000
HD 80913 b,HD 80913,1,1,09h12m24.52s,138.1021548,-81d46m06.42s,-81.7684510,61.3603000,0.0839000,-0.0837000
HD 81040 b,HD 81040,1,1,09h23m46.92s,140.9455027,+20d21m52.59s,20.3646078,34.4341000,0.0777000,-0.0773000
HD 81688 b,HD 81688,1,1,09h28m39.98s,142.1665753,+45d36m03.33s,45.6009241,85.7183000,0.7869500,-0.7869500
HD 81817 b,HD 81817,1,2,09h37m05.18s,144.2715659,+81d19m34.71s,81.3263096,269.1260000,23.2370000,-19.8650000
HD 81817 c,HD 81817,1,2,09h37m05.18s,144.2715659,+81d19m34.71s,81.3263096,269.1260000,23.2370000,-19.8650000
HD 82886 b,HD 82886,1,1,09h35m45.20s,143.9383526,+34d46m50.12s,34.7805902,127.0610000,1.1220000,-1.1030000
HD 82943 b,HD 82943,1,2,09h34m50.74s,143.7114034,-12d07m49.07s,-12.1302976,27.5902000,0.0291000,-0.0290000
HD 82943 c,HD 82943,1,2,09h34m50.74s,143.7114034,-12d07m49.07s,-12.1302976,27.5902000,0.0291000,-0.0290000
HD 8326 b,HD 8326,1,1,01h22m07.55s,20.5314418,-26d53m38.64s,-26.8940678,30.6862000,0.0442000,-0.0441000
HD 83443 b,HD 83443,1,2,09h37m11.86s,144.2994103,-43d16m21.80s,-43.2727210,40.8991000,0.0628000,-0.0626000
HD 83443 c,HD 83443,1,2,09h37m11.86s,144.2994103,-43d16m21.80s,-43.2727210,40.8991000,0.0628000,-0.0626000
HD 8535 b,HD 8535,2,1,01h23m37.32s,20.9054804,-41d16m12.36s,-41.2701007,55.4401000,0.0961000,-0.0957000
HD 85390 b,HD 85390,1,1,09h50m02.54s,147.5105663,-49d47m25.89s,-49.7905254,33.5225000,0.0430000,-0.0429000
HD 8574 b,HD 8574,1,1,01h25m12.81s,21.3033807,+28d33m57.66s,28.5660169,44.8264000,0.0940000,-0.0936000
HD 86065 b,HD 86065,1,1,09h55m42.16s,148.9256674,-18d06m24.98s,-18.1069385,40.3661000,0.0557000,-0.0555000
HD 86081 b,HD 86081,2,1,09h56m05.85s,149.0243714,-03d48m30.08s,-3.8083543,103.9360000,0.5570000,-0.5510000
HD 86226 b,HD 86226,1,2,09h56m29.64s,149.1235154,-24d05m57.07s,-24.0991859,45.6830000,0.1053000,-0.1048000
HD 86226 c,HD 86226,1,2,09h56m29.64s,149.1235154,-24d05m57.07s,-24.0991859,45.6830000,0.1053000,-0.1048000
HD 86264 b,HD 86264,1,1,09h56m57.82s,149.2409308,-15d53m43.44s,-15.8953993,67.8107000,0.2753000,-0.2731000
HD 8673 b,HD 8673,2,1,01h26m09.08s,21.5378455,+34d34m45.62s,34.5793389,37.8619000,0.0543000,-0.0541000
HD 86950 b,HD 86950,1,1,10h01m37.60s,150.4066612,-17d19m59.05s,-17.3330699,209.8390000,1.9600000,-1.9250000
HD 87646 b,HD 87646,3,1,10h06m40.69s,151.6695435,+17d53m41.93s,17.8949795,73.5835200,8.5549600,-8.5549600
HD 87883 b,HD 87883,1,1,10h08m43.06s,152.1794175,+34d14m31.19s,34.2419984,18.2912000,0.0125000,-0.0124000
HD 88072 b,HD 88072,1,1,10h09m23.22s,152.3467466,+02d22m15.79s,2.3710540,35.9098000,0.0689000,-0.0686000
HD 88133 b,HD 88133,1,1,10h10m07.66s,152.5319349,+18d11m08.62s,18.1857284,73.6123000,0.3053000,-0.3029000
HD 88986 b,HD 88986,1,1,10h16m28.00s,154.1166869,+28d40m55.45s,28.6820708,33.2673000,0.0459000,-0.0459000
HD 89307 b,HD 89307,1,1,10h18m21.00s,154.5874958,+12d37m15.38s,12.6209392,32.0104000,0.0528000,-0.0526000
HD 89345 b,HD 89345,1,1,10h18m41.06s,154.6710977,+10d07m43.85s,10.1288464,132.3450000,0.8080000,-0.7990000
HD 89744 b,HD 89744,2,1,10h22m10.40s,155.5433193,+41d13m44.17s,41.2289354,38.6364000,0.1080000,-0.1074000
HD 89839 b,HD 89839,1,1,10h20m40.53s,155.1688790,-53d39m50.50s,-53.6640291,57.3063000,0.1099000,-0.1094000
HD 90156 b,HD 90156,1,1,10h23m55.23s,155.9801144,-29d38m42.37s,-29.6451030,21.9496000,0.0170000,-0.0169000
HD 9174 b,HD 9174,1,1,01h30m01.04s,22.5043352,-19d36m19.06s,-19.6052945,81.4893000,0.3063000,-0.3042000
HD 92788 b,HD 92788,1,2,10h42m48.51s,160.7021351,-02d11m04.98s,-2.1847173,34.6538000,0.0597000,-0.0596000
HD 92788 c,HD 92788,1,2,10h42m48.51s,160.7021351,-02d11m04.98s,-2.1847173,34.6538000,0.0597000,-0.0596000
HD 93083 b,HD 93083,1,1,10h44m20.80s,161.0866672,-33d34m39.65s,-33.5776794,28.5159000,0.0397000,-0.0397000
HD 93351 b,HD 93351,1,2,10h46m42.70s,161.6779279,-01d41m18.87s,-1.6885763,56.1630000,0.1261000,-0.1257000
HD 93351 c,HD 93351,1,2,10h46m42.70s,161.6779279,-01d41m18.87s,-1.6885763,56.1630000,0.1261000,-0.1257000
HD 93385 b,HD 93385,1,3,10h46m15.05s,161.5627065,-41d27m52.57s,-41.4646040,43.3475000,0.0649000,-0.0648000
HD 93385 c,HD 93385,1,3,10h46m15.05s,161.5627065,-41d27m52.57s,-41.4646040,43.3475000,0.0649000,-0.0648000
HD 93385 d,HD 93385,1,3,10h46m15.05s,161.5627065,-41d27m52.57s,-41.4646040,43.3475000,0.0649000,-0.0648000
HD 93963 A b,HD 93963 A,2,2,10h51m06.41s,162.7766969,+25d38m27.83s,25.6410650,82.3432000,0.3932000,-0.3896000
HD 93963 A c,HD 93963 A,2,2,10h51m06.41s,162.7766969,+25d38m27.83s,25.6410650,82.3432000,0.3932000,-0.3896000
HD 9446 b,HD 9446,1,2,01h33m20.41s,23.3350424,+29d15m53.71s,29.2649187,50.3503000,0.3538000,-0.3490000
HD 9446 c,HD 9446,1,2,01h33m20.41s,23.3350424,+29d15m53.71s,29.2649187,50.3503000,0.3538000,-0.3490000
HD 94771 b,HD 94771,1,1,10h55m53.92s,163.9746776,-35d06m52.28s,-35.1145225,57.7807000,0.1205000,-0.1199000
HD 94834 b,HD 94834,1,1,10h57m15.03s,164.3126363,+24d08m34.57s,24.1429374,98.1609000,0.6436000,-0.6436000
HD 95086 b,HD 95086,1,1,10h57m02.90s,164.2621032,-68d40m02.25s,-68.6672917,86.2279000,0.2443000,-0.2431000
HD 95089 b,HD 95089,1,2,10h58m47.70s,164.6987480,+01d43m44.43s,1.7290087,136.9570000,1.9550000,-1.9550000
HD 95089 c,HD 95089,1,2,10h58m47.70s,164.6987480,+01d43m44.43s,1.7290087,136.9570000,1.9550000,-1.9550000
HD 95127 b,HD 95127,1,1,10h59m35.07s,164.8961152,+43d48m51.87s,43.8144094,676.5790000,45.1145000,-45.1145000
HD 95338 b,HD 95338,1,1,10h59m25.52s,164.8563364,-56d37m24.80s,-56.6235564,36.9941000,0.0689000,-0.0687000
HD 95544 b,HD 95544,1,1,11h05m17.56s,166.3231784,+81d02m20.35s,81.0389868,87.8049000,0.2031000,-0.2022000
HD 95735 c,GJ 411,1,2,11h03m20.27s,165.8344710,+35d58m20.34s,35.9723170,5.6757730,0.0059099,-0.0059099
HD 95872 b,HD 95872,1,1,11h03m27.81s,165.8658796,-22d05m39.59s,-22.0943303,72.2195000,0.1792000,-0.1784000
HD 96063 b,HD 96063,1,1,11h04m44.48s,166.1853484,-02d30m47.87s,-2.5132966,140.0650000,1.3260000,-1.3260000
HD 96127 b,HD 96127,1,1,11h05m45.96s,166.4415020,+44d18m05.58s,44.3015500,587.6590000,25.4550000,-25.4550000
HD 96167 b,HD 96167,2,1,11h05m15.02s,166.3125657,-10d17m28.84s,-10.2913450,85.3006000,0.4163000,-0.4123000
HD 96700 b,HD 96700,1,3,11h07m53.82s,166.9742616,-30d10m30.50s,-30.1751383,25.4111000,0.0284000,-0.0283000
HD 96700 c,HD 96700,1,3,11h07m53.82s,166.9742616,-30d10m30.50s,-30.1751383,25.4111000,0.0284000,-0.0283000
HD 96700 d,HD 96700,1,3,11h07m53.82s,166.9742616,-30d10m30.50s,-30.1751383,25.4111000,0.0284000,-0.0283000
HD 96992 b,HD 96992,1,1,11h10m23.19s,167.5966158,+43d55m08.36s,43.9189897,396.0820000,14.9565000,-14.9565000
HD 97037 b,HD 97037,1,1,11h10m13.09s,167.5545621,-07d23m24.53s,-7.3901483,32.4130000,0.0575000,-0.0572000
HD 97048 b,HD 97048,1,1,11h08m03.20s,167.0133422,-77d39m17.47s,-77.6548530,183.8570000,1.3310000,-1.3130000
HD 97658 b,HD 97658,1,1,11h14m33.04s,168.6376584,+25d42m38.15s,25.7105962,21.5618000,0.0254000,-0.0253000
HD 98219 b,HD 98219,1,1,11h17m47.41s,169.4475218,-23d58m31.76s,-23.9754880,113.7040000,0.5780000,-0.5780000
HD 98649 b,HD 98649,1,1,11h20m51.54s,170.2147665,-23d13m05.18s,-23.2181063,42.1727000,0.0878000,-0.0875000
HD 98736 b,HD 98736,2,1,11h21m49.18s,170.4549045,+18d11m22.59s,18.1896082,32.4459000,0.0646000,-0.0644000
HD 99109 b,HD 99109,1,1,11h24m17.17s,171.0715576,-01d31m47.14s,-1.5297610,54.7901000,0.1672000,-0.1662000
HD 99283 b,HD 99283,1,1,11h25m56.98s,171.4874082,+55d51m02.40s,55.8506653,111.0930000,0.7190000,-0.7100000
HD 99492 b,HD 99492,2,2,11h26m45.52s,171.6896870,+03d00m25.68s,3.0071331,18.2038000,0.0581000,-0.0577000
HD 99492 c,HD 99492,2,2,11h26m45.52s,171.6896870,+03d00m25.68s,3.0071331,18.2038000,0.0581000,-0.0577000
HD 99706 b,HD 99706,1,2,11h28m30.28s,172.1261621,+43d57m58.33s,43.9662025,146.6000000,1.1220000,-1.1220000
HD 99706 c,HD 99706,1,2,11h28m30.28s,172.1261621,+43d57m58.33s,43.9662025,146.6000000,1.1220000,-1.1220000
HIP 105854 b,HIP 105854,1,1,21h26m23.09s,321.5962275,-37d49m46.12s,-37.8294782,78.6381000,0.7437000,-0.7437000
HIP 107772 b,HIP 107772,1,1,21h49m59.45s,327.4977057,-41d14m38.53s,-41.2440371,23.6434000,0.0243000,-0.0242000
HIP 107773 b,HIP 107773,1,1,21h50m00.12s,327.5005089,-64d42m45.72s,-64.7126993,105.1800000,0.8110000,-0.8110000
HIP 109384 b,HIP 109384,1,1,22h09m38.15s,332.4089720,+71d18m50.24s,71.3139560,58.9582000,0.1187000,-0.1183000
HIP 109600 b,HIP 109600,2,1,22h12m06.50s,333.0270790,+29d03m58.35s,29.0662082,66.3361000,0.1917000,-0.1906000
HIP 113103 b,HIP 113103,1,2,22h54m17.37s,343.5723794,-43d00m36.82s,-43.0102291,46.2122000,0.0864000,-0.0860000
HIP 113103 c,HIP 113103,1,2,22h54m17.37s,343.5723794,-43d00m36.82s,-43.0102291,46.2122000,0.0864000,-0.0860000
HIP 114933 b,HIP 114933,1,1,23h16m49.73s,349.2071949,-21d12m11.92s,-21.2033101,101.7660000,0.5300000,-0.5300000
HIP 116454 b,HIP 116454,2,1,23h35m49.04s,353.9543517,+00d26m40.94s,0.4447043,62.4491000,0.1831000,-0.1820000
HIP 12961 b,HIP 12961,1,1,02h46m43.22s,41.6800749,-23d05m09.62s,-23.0860048,23.3710000,0.0185000,-0.0184000
HIP 14810 b,HIP 14810,1,3,03h11m14.23s,47.8092750,+21d05m49.67s,21.0971302,50.4800000,0.1156000,-0.1151000
HIP 14810 c,HIP 14810,1,3,03h11m14.23s,47.8092750,+21d05m49.67s,21.0971302,50.4800000,0.1156000,-0.1151000
HIP 14810 d,HIP 14810,1,3,03h11m14.23s,47.8092750,+21d05m49.67s,21.0971302,50.4800000,0.1156000,-0.1151000
HIP 19976 b,HIP 19976,1,1,04h17m02.35s,64.2597881,-40d47m54.67s,-40.7985198,40.2707000,0.0428000,-0.0427000
HIP 21152 b,HIP 21152,2,1,04h32m04.93s,68.0205209,+05d24m36.27s,5.4100745,43.4073000,0.1311000,-0.1303000
HIP 29442 c,HD 42813,1,3,06h12m13.88s,93.0578446,-14d38m57.54s,-14.6493167,68.1920000,0.1772000,-0.1763000
HIP 29442 d,HD 42813,1,3,06h12m13.88s,93.0578446,-14d38m57.54s,-14.6493167,68.1920000,0.1772000,-0.1763000
HIP 34222 b,HIP 34222,1,1,07h05m42.19s,106.4257786,+27d28m13.49s,27.4704132,22.8386000,0.0270000,-0.0269000
HIP 35173 b,HIP 35173,1,1,07h16m10.78s,109.0449329,-03d39m58.06s,-3.6661273,33.1562000,0.0641000,-0.0638000
HIP 35965 b,HIP 35965,1,1,07h24m48.60s,111.2025182,-51d19m32.70s,-51.3257507,50.1677000,0.0522000,-0.0520000
HIP 38594 b,HIP 38594,2,2,07h54m10.54s,118.5439118,-25d18m08.31s,-25.3023073,17.7886000,0.0095000,-0.0095000
HIP 38594 c,HIP 38594,2,2,07h54m10.54s,118.5439118,-25d18m08.31s,-25.3023073,17.7886000,0.0095000,-0.0095000
HIP 39017 b,HIP 39017,1,1,07h59m03.98s,119.7665756,-04d19m57.36s,-4.3326006,66.3217000,0.2047000,-0.2035000
HIP 41378 b,HIP 41378,1,5,08h26m27.80s,126.6158279,+10d04m49.33s,10.0803708,106.2890000,0.6760000,-0.6680000
HIP 41378 c,HIP 41378,1,5,08h26m27.80s,126.6158279,+10d04m49.33s,10.0803708,106.2890000,0.6760000,-0.6680000
HIP 41378 d,HIP 41378,1,5,08h26m27.80s,126.6158279,+10d04m49.33s,10.0803708,106.2890000,0.6760000,-0.6680000
HIP 41378 e,HIP 41378,1,5,08h26m27.80s,126.6158279,+10d04m49.33s,10.0803708,106.2890000,0.6760000,-0.6680000
HIP 41378 f,HIP 41378,1,5,08h26m27.80s,126.6158279,+10d04m49.33s,10.0803708,106.2890000,0.6760000,-0.6680000
HIP 4845 b,HIP 4845,1,1,01h02m21.16s,15.5881733,-10d25m28.63s,-10.4246208,21.0974000,0.0178000,-0.0178000
HIP 48714 b,HIP 48714,1,1,09h56m07.98s,149.0332672,+62d47m09.42s,62.7859505,10.5298000,0.0043000,-0.0043000
HIP 5158 b,HIP 5158,1,2,01h06m02.28s,16.5094891,-22d27m13.01s,-22.4536134,51.6026000,0.1043000,-0.1039000
HIP 5158 c,HIP 5158,1,2,01h06m02.28s,16.5094891,-22d27m13.01s,-22.4536134,51.6026000,0.1043000,-0.1039000
HIP 54373 b,HIP 54373,1,2,11h07m27.44s,166.8643532,-19d17m30.07s,-19.2916857,18.7168000,0.0164000,-0.0164000
HIP 54373 c,HIP 54373,1,2,11h07m27.44s,166.8643532,-19d17m30.07s,-19.2916857,18.7168000,0.0164000,-0.0164000
HIP 54597 b,HIP 54597,1,1,11h10m25.97s,167.6082179,-29d24m51.49s,-29.4143018,39.7429000,0.0664000,-0.0663000
HIP 55507 b,HIP 55507,1,1,11h22m05.45s,170.5227246,+46d54m28.09s,46.9078030,25.4893000,0.0257000,-0.0256000
HIP 56640 b,HIP 56640,1,1,11h36m48.21s,174.2008941,-37d02m20.89s,-37.0391349,122.3240000,0.5870000,-0.5810000
HIP 57274 b,HIP 57274,1,3,11h44m40.93s,176.1705487,+30d57m27.53s,30.9576484,25.8618000,0.0337000,-0.0335000
HIP 57274 c,HIP 57274,1,3,11h44m40.93s,176.1705487,+30d57m27.53s,30.9576484,25.8618000,0.0337000,-0.0335000
HIP 57274 d,HIP 57274,1,3,11h44m40.93s,176.1705487,+30d57m27.53s,30.9576484,25.8618000,0.0337000,-0.0335000
HIP 5763 b,HIP 5763,1,1,01h13m58.88s,18.4953430,+16d29m39.39s,16.4942738,31.9043000,0.0420000,-0.0419000
HIP 63242 b,HIP 63242,1,1,12h57m31.80s,194.3824825,-65d38m46.77s,-65.6463263,156.4560000,0.6995000,-0.6995000
HIP 65 A b,HIP 65 A,2,1,00h00m44.55s,0.1856063,-54d49m50.96s,-54.8308228,61.7856000,0.0806000,-0.0804000
HIP 65407 b,HIP 65407,1,2,13h24m21.04s,201.0876630,+48d53m05.04s,48.8847322,61.7804000,0.1065000,-0.1062000
HIP 65407 c,HIP 65407,1,2,13h24m21.04s,201.0876630,+48d53m05.04s,48.8847322,61.7804000,0.1065000,-0.1062000
HIP 65426 b,HIP 65426,1,1,13h24m36.04s,201.1501727,-51d30m16.34s,-51.5045384,108.8750000,0.7530000,-0.7420000
HIP 65891 b,HIP 65891,1,1,13h30m25.22s,202.6050857,-58d39m51.82s,-58.6643937,150.2920000,0.6500000,-0.6440000
HIP 66074 b,HIP 66074,1,1,13h32m39.26s,203.1635632,+75d00m25.57s,75.0071038,35.4438000,0.0261000,-0.0260000
HIP 67522 b,HIP 67522,1,2,13h50m06.24s,207.5260010,-40d50m09.23s,-40.8358961,127.2800000,1.1050000,-1.0870000
HIP 67522 c,HIP 67522,1,2,13h50m06.24s,207.5260010,-40d50m09.23s,-40.8358961,127.2800000,1.1050000,-1.0870000
HIP 67537 b,HIP 67537,1,1,13h50m19.40s,207.5808445,-39d54m03.24s,-39.9008996,116.0460000,0.6500000,-0.6500000
HIP 67851 b,HIP 67851,1,2,13h53m51.69s,208.4653640,-35d18m52.75s,-35.3146536,64.1181000,0.1748000,-0.1748000
HIP 67851 c,HIP 67851,1,2,13h53m51.69s,208.4653640,-35d18m52.75s,-35.3146536,64.1181000,0.1748000,-0.1748000
HIP 70849 b,HIP 70849,2,1,14h29m18.50s,217.3270762,-46d27m52.86s,-46.4646840,24.0572000,0.0247500,-0.0247500
HIP 71135 b,HIP 71135,1,1,14h32m51.79s,218.2158073,-52d38m47.31s,-52.6464757,32.3311000,0.0521000,-0.0519000
HIP 74890 b,HIP 74890,1,1,15h18m17.16s,229.5714974,-41d25m15.95s,-41.4210961,78.6562000,0.2560000,-0.2560000
HIP 75092 b,HIP 75092,1,1,15h20m41.38s,230.1724206,-25d59m27.79s,-25.9910525,81.6696000,0.4148000,-0.4107000
HIP 77900 b,HIP 77900,1,1,15h54m30.09s,238.6253901,-27d20m19.48s,-27.3387434,150.8620000,2.7435000,-2.7435000
HIP 78530 b,HIP 78530,1,1,16h01m55.44s,240.4810052,-21d58m49.77s,-21.9804920,136.7590000,1.4930000,-1.4620000
HIP 79098 AB b,HIP 79098 AB,2,1,16h08m43.71s,242.1821202,-23d41m07.89s,-23.6855244,145.7980000,2.5620000,-2.4760000
HIP 79431 b,HIP 79431,1,1,16h12m41.82s,243.1742467,-18d52m35.13s,-18.8764247,14.5324000,0.0259000,-0.0259000
HIP 81208 C b,HIP 81208 C,3,1,16h35m13.8s,248.8075000,-35d43m29.13s,-35.7247583,147.5330000,1.4830000,-1.4540000
HIP 8152 b,HIP 8152,1,2,01h44m50.22s,26.2092533,-18d24m04.98s,-18.4013844,101.6940000,0.4210000,-0.4170000
HIP 8152 c,HIP 8152,1,2,01h44m50.22s,26.2092533,-18d24m04.98s,-18.4013844,101.6940000,0.4210000,-0.4170000
HIP 8541 b,HIP 8541,2,2,01h50m06.53s,27.5271962,-54d27m54.59s,-54.4651633,155.1210000,0.6380000,-0.6340000
HIP 86221 b,HIP 86221,1,1,17h37m10.77s,264.2948750,+27d53m47.01s,27.8963910,29.4898000,2.2196200,-2.2196200
