
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_lumerr1:     Stellar Luminosity Upper Unc. [log(Solar)]
# COLUMN st_lumerr2:     Stellar Luminosity Lower Unc. [log(Solar)]
# COLUMN st_lumlim:      Stellar Luminosity Limit Flag
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
pl_name,hostname,sy_snum,sy_pnum,st_lum,st_lumerr1,st_lumerr2,st_lumlim,ra,dec,sy_dist,sy_disterr1,sy_disterr2
HD 102365 b,HD 102365,2,1,-0.057,0.001,-0.001,0,176.6208003,-40.4986211,9.2894000,0.0142400,-0.0142000
HD 102843 b,HD 102843,1,1,-0.138,0.002,-0.002,0,177.5854673,-1.2522989,62.7580000,0.2124000,-0.2111000
HD 102956 b,HD 102956,2,1,1.064,0.018,-0.019,0,177.8436988,57.6406584,121.8900000,0.4345000,-0.4345000
HD 103197 b,HD 103197,1,1,-0.328,0.091,-0.116,0,178.2201971,-50.2927911,57.1463000,0.0970000,-0.0967000
HD 103720 b,HD 103720,1,1,-0.458,0.001,-0.001,0,179.1713308,-2.7791393,45.5352000,0.1032000,-0.1026000
HD 103774 b,HD 103774,2,1,0.544,0.036,-0.039,0,179.2310729,-12.1079951,56.4089000,0.1785000,-0.1774000
HD 103891 b,HD 103891,1,1,0.786,0.001,-0.001,0,179.4382907,-8.5486195,55.5213000,0.4446000,-0.4378000
HD 103949 b,HD 103949,1,1,-0.569,0.001,-0.001,0,179.5479558,-23.9241221,26.4997000,0.0538000,-0.0537000
HD 104067 b,HD 104067,1,2,-0.513,0.001,-0.001,0,179.7923543,-20.3556058,20.3632000,0.0245000,-0.0244000
HD 104067 c,HD 104067,1,2,-0.513,0.001,-0.001,0,179.7923543,-20.3556058,20.3632000,0.0245000,-0.0244000
HD 10442 b,HD 10442,1,1,0.310,0.350,-0.350,0,25.4715240,2.7044193,135.3740000,1.3395000,-1.3395000
HD 104985 b,HD 104985,1,1,1.770,0.079,-0.092,0,181.3157854,76.9053359,100.5760000,0.7190000,-0.7190000
HD 105618 b,HD 105618,1,2,0.180,0.010,-0.011,0,182.4021288,11.2115695,70.0837000,0.2478000,-0.2462000
HD 105618 c,HD 105618,1,2,0.180,0.010,-0.011,0,182.4021288,11.2115695,70.0837000,0.2478000,-0.2462000
HD 105779 b,HD 105779,1,1,-0.108,0.022,-0.023,0,182.6612053,-16.9564908,55.2411000,0.1700000,-0.1690000
HD 106252 b,HD 106252,1,1,0.123,0.010,-0.010,0,183.3730583,10.0404302,38.1850000,0.0790000,-0.0787000
HD 106270 b,HD 106270,1,1,0.756,0.037,-0.040,0,183.4049258,-9.5135645,93.8080000,0.5686000,-0.5686000
HD 106315 b,HD 106315,1,2,0.350,0.034,-0.032,0,183.4724742,-0.3934357,109.3530000,0.6910000,-0.6810000
HD 106315 c,HD 106315,1,2,0.395,0.014,-0.022,0,183.4724742,-0.3934357,109.3530000,0.6910000,-0.6810000
HD 10647 b,HD 10647,1,1,0.149,,,0,25.6233526,-53.7412852,17.3357000,0.0223000,-0.0223000
HD 106515 A b,HD 106515 A,2,1,-0.164,0.011,-0.012,0,183.7762699,-7.2575413,34.0915000,0.0856000,-0.0851000
HD 106906 b,HD 106906,1,1,0.750,0.060,-0.060,0,184.4713308,-55.9755805,103.0290000,0.4610000,-0.4570000
HD 10697 b,HD 10697,1,1,0.477,0.011,-0.008,0,26.2324076,20.0826974,33.1205000,0.0442000,-0.0442000
HD 107148 b,HD 107148,2,2,0.121,0.001,-0.001,0,184.8059773,-3.3199927,49.4156000,0.1160000,-0.1154000
HD 107148 c,HD 107148,2,2,0.121,0.001,-0.001,0,184.8059773,-3.3199927,49.4156000,0.1160000,-0.1154000
HD 108147 b,HD 108147,1,1,0.303,0.014,-0.016,0,186.4409852,-64.0223492,38.9200000,0.0488000,-0.0487000
HD 108202 b,HD 108202,1,1,-0.767,0.021,-0.019,0,186.4613189,-1.1109233,38.6846000,0.0675000,-0.0673000
HD 108236 b,HD 108236,1,5,-0.150,0.028,-0.030,0,186.5740627,-51.3630519,64.5978000,0.1943000,-0.1932000
HD 108236 c,HD 108236,1,5,-0.150,0.028,-0.030,0,186.5740627,-51.3630519,64.5978000,0.1943000,-0.1932000
HD 108236 d,HD 108236,1,5,-0.150,0.028,-0.030,0,186.5740627,-51.3630519,64.5978000,0.1943000,-0.1932000
HD 108236 e,HD 108236,1,5,-0.150,0.028,-0.030,0,186.5740627,-51.3630519,64.5978000,0.1943000,-0.1932000
HD 108236 f,HD 108236,1,5,-0.150,0.028,-0.030,0,186.5740627,-51.3630519,64.5978000,0.1943000,-0.1932000
HD 108341 b,HD 108341,2,1,-0.370,0.001,-0.001,0,186.8791724,-71.4224896,48.9102000,0.0618000,-0.0615000
HD 108863 b,HD 108863,1,1,1.225,0.013,-0.013,0,187.5826081,21.9480993,164.7420000,1.3265000,-1.3265000
HD 108874 b,HD 108874,1,2,-0.001,0.012,-0.008,0,187.6126029,22.8794399,59.5175000,0.1585000,-0.1576000
HD 108874 c,HD 108874,1,2,-0.001,0.012,-0.008,0,187.6126029,22.8794399,59.5175000,0.1585000,-0.1576000
HD 109246 b,HD 109246,1,1,0.100,0.001,-0.001,0,188.0271840,74.4893379,67.8349000,0.1236000,-0.1232000
HD 109271 b,HD 109271,1,2,0.301,0.061,-0.071,0,188.3973970,-11.6215204,55.8716000,0.2082000,-0.2068000
HD 109271 c,HD 109271,1,2,0.301,0.061,-0.071,0,188.3973970,-11.6215204,55.8716000,0.2082000,-0.2068000
HD 109286 b,HD 109286,1,1,-0.084,0.009,-0.013,0,188.3958418,7.2809064,55.4156000,0.1570000,-0.1562000
HD 109749 b,HD 109749,2,1,0.190,0.060,-0.060,0,189.3173489,-40.8121458,63.0821000,0.2965000,-0.2938000
HD 10975 b,HD 10975,1,1,1.790,0.045,-0.043,0,27.1628025,37.9527542,116.5060000,0.9750000,-0.9750000
HD 109833 b,HD 109833,1,2,0.072,0.028,-0.030,0,189.7758591,-74.5740205,79.5561000,0.1488000,-0.1483000
HD 109833 c,HD 109833,1,2,0.072,0.028,-0.030,0,189.7758591,-74.5740205,79.5561000,0.1488000,-0.1483000
HD 109988 b,HD 109988,1,1,-0.307,0.013,-0.007,0,189.8154662,-32.7263607,42.5279000,0.0817000,-0.0813000
HD 110014 b,HD 110014,1,1,2.304,0.010,-0.010,0,189.8111935,-7.9956702,100.7580000,1.9731500,-1.9731500
HD 110067 b,HD 110067,3,6,-0.362,0.007,-0.012,0,189.8392243,20.0273377,32.1585000,0.0572000,-0.0569000
HD 110067 c,HD 110067,3,6,-0.362,0.007,-0.012,0,189.8392243,20.0273377,32.1585000,0.0572000,-0.0569000
HD 110067 d,HD 110067,3,6,-0.362,0.007,-0.012,0,189.8392243,20.0273377,32.1585000,0.0572000,-0.0569000
HD 110067 e,HD 110067,3,6,-0.362,0.007,-0.012,0,189.8392243,20.0273377,32.1585000,0.0572000,-0.0569000
HD 110067 f,HD 110067,3,6,-0.362,0.007,-0.012,0,189.8392243,20.0273377,32.1585000,0.0572000,-0.0569000
HD 110067 g,HD 110067,3,6,-0.362,0.007,-0.012,0,189.8392243,20.0273377,32.1585000,0.0572000,-0.0569000
HD 110082 b,HD 110082,2,1,0.281,0.009,-0.009,0,192.5892855,-88.1211107,105.0960000,0.2660000,-0.2660000
HD 110113 b,HD 110113,1,2,-0.032,0.004,-0.004,0,190.0365636,-44.3120777,106.3070000,0.7240000,-0.7150000
HD 110113 c,HD 110113,1,2,-0.032,0.004,-0.004,0,190.0365636,-44.3120777,106.3070000,0.7240000,-0.7150000
HD 110537 b,HD 110537,1,1,0.117,0.010,-0.011,0,190.7462412,-4.0501059,45.0858000,0.0975000,-0.0970000
HD 11112 b,HD 11112,1,1,0.377,0.011,-0.014,0,27.0881399,-41.4944106,44.3804000,0.0549000,-0.0548000
HD 111232 b,HD 111232,1,2,-0.161,,,0,192.2159553,-68.4246679,28.9571000,0.0362000,-0.0361000
HD 111232 c,HD 111232,1,2,-0.161,0.001,-0.001,0,192.2159553,-68.4246679,28.9571000,0.0362000,-0.0361000
HD 111591 b,HD 111591,1,1,1.581,,,0,192.5725483,22.8631285,114.1660000,0.7020000,-0.6930000
HD 111998 b,HD 111998,1,1,0.512,0.001,-0.001,0,193.2953521,-3.5531133,33.2237000,0.0603000,-0.0600000
HD 112300 b,HD 112300,1,1,2.701,,,0,193.8988441,3.3972376,62.0732400,3.3907200,-3.3907200
HD 112570 b,HD 112570,1,1,1.647,0.032,-0.034,0,194.2824262,46.1765638,101.1660000,0.4790000,-0.4740000
HD 112640 b,HD 112640,1,1,2.453,,,0,194.2415171,67.2429122,323.3350000,2.4960000,-2.4580000
HD 113337 b,HD 113337,1,2,0.632,0.025,-0.026,0,195.4438496,63.6103280,36.1800000,0.0565000,-0.0563000
HD 113337 c,HD 113337,1,2,0.620,0.001,-0.001,0,195.4438496,63.6103280,36.1800000,0.0565000,-0.0563000
HD 11343 c,HIP 8541,2,2,1.309,0.003,-0.003,0,27.5271962,-54.4651633,155.1210000,0.6380000,-0.6340000
HD 113538 b,HD 113538,1,2,-1.046,,,0,196.2339330,-52.4463502,16.2817000,0.0139000,-0.0140000
HD 113538 c,HD 113538,1,2,-1.046,,,0,196.2339330,-52.4463502,16.2817000,0.0139000,-0.0140000
HD 113996 b,HD 113996,2,1,2.464,,,0,196.7948740,27.6244384,116.3340000,5.3320000,-4.8900000
HD 114082 b,HD 114082,1,1,0.583,0.006,-0.006,0,197.3171237,-60.3084347,95.3906000,0.4518000,-0.4476000
HD 114386 b,HD 114386,1,1,-0.540,,,0,197.6652124,-35.0561807,27.9243000,0.0404000,-0.0404000
HD 114729 b,HD 114729,2,1,0.421,0.001,-0.001,0,198.1833997,-31.8746756,37.8063000,0.0518000,-0.0517000
HD 114783 b,HD 114783,1,2,-0.372,0.013,-0.013,0,198.1818436,-2.2649921,21.0628000,0.0285000,-0.0284000
HD 114783 c,HD 114783,1,2,-0.373,0.001,-0.001,0,198.1818436,-2.2649921,21.0628000,0.0285000,-0.0284000
HD 11505 b,HD 11505,1,1,0.151,0.011,-0.013,0,28.2750265,-1.3284416,38.9679000,0.1628000,-0.1615000
HD 11506 b,HD 11506,1,3,0.337,0.014,-0.012,0,28.2106607,-19.5073960,51.2610000,0.1351000,-0.1343000
HD 11506 c,HD 11506,1,3,0.337,0.014,-0.012,0,28.2106607,-19.5073960,51.2610000,0.1351000,-0.1343000
HD 11506 d,HD 11506,1,3,0.337,0.002,-0.002,0,28.2106607,-19.5073960,51.2610000,0.1351000,-0.1343000
HD 115404 A b,HD 115404 A,1,2,-0.520,0.017,-0.011,0,199.2155793,17.0160384,10.9816000,0.0044000,-0.0044000
HD 115404 A c,HD 115404 A,1,2,-0.520,0.017,-0.011,0,199.2155793,17.0160384,10.9816000,0.0044000,-0.0044000
HD 115954 b,HD 115954,1,1,0.481,0.013,-0.012,0,199.9853694,38.3691383,87.6437000,0.2763000,-0.2747000
HD 116029 b,HD 116029,2,2,1.053,0.019,-0.020,0,200.1646905,24.6484725,123.2450000,0.5880000,-0.5880000
HD 116029 c,HD 116029,2,2,1.063,0.003,-0.003,0,200.1646905,24.6484725,123.2450000,0.5880000,-0.5880000
HD 117207 b,HD 117207,1,1,0.066,0.001,-0.001,0,202.3368806,-35.5713041,32.3547000,0.0524000,-0.0522000
HD 11755 b,HD 11755,1,1,2.169,0.005,-0.005,0,29.7078360,73.1521372,235.0450000,1.6160000,-1.5950000
HD 117618 b,HD 117618,1,1,0.213,0.012,-0.015,0,203.1066418,-47.2719049,37.7781000,0.0924000,-0.0919000
HD 118203 b,HD 118203,1,2,0.700,0.080,-0.080,0,203.5099560,53.7281876,92.2589000,0.2364000,-0.2352000
HD 118203 c,HD 118203,1,2,0.700,0.080,-0.080,0,203.5099560,53.7281876,92.2589000,0.2364000,-0.2352000
HD 11964 b,HD 11964,2,2,0.459,0.007,-0.011,0,29.2884252,-10.2434693,33.5369000,0.0428000,-0.0428000
HD 11964 c,HD 11964,2,2,0.459,0.007,-0.011,0,29.2884252,-10.2434693,33.5369000,0.0428000,-0.0428000
HD 11977 b,HD 11977,1,1,1.839,0.005,-0.005,0,28.7347403,-67.6469871,67.9331000,0.7082500,-0.7082500
HD 120084 b,HD 120084,1,1,1.738,0.068,-0.064,0,205.6619890,78.0646376,103.0440000,0.5175000,-0.5175000
HD 121504 b,HD 121504,1,1,0.190,,,0,209.3199062,-56.0404085,41.6592000,0.0690000,-0.0687000
HD 12235 b,HD 12235,1,2,0.575,0.016,-0.011,0,30.0391601,3.0959098,31.7627000,0.1073000,-0.1066000
HD 12235 c,HD 12235,1,2,0.575,0.016,-0.011,0,30.0391601,3.0959098,31.7627000,0.1073000,-0.1066000
HD 122562 c,HD 122562,1,1,0.407,,,0,210.5886904,20.8810286,53.2528000,0.1223000,-0.1218000
HD 124330 b,HD 124330,1,1,0.338,0.015,-0.014,0,212.8207093,54.4089731,60.1977000,0.1025000,-0.1022000
HD 12484 b,HD 12484,1,1,0.022,0.002,-0.002,0,30.6115322,2.8158078,48.3367000,0.1378000,-0.1370000
HD 125271 b,HD 125271,1,1,-0.604,0.017,-0.015,0,216.6474037,-81.4542756,39.3466000,0.0672000,-0.0670000
HD 125390 b,HD 125390,1,1,1.124,0.004,-0.004,0,214.5387463,38.9669132,153.6470000,0.8540000,-0.8540000
HD 125595 b,HD 125595,1,1,-0.617,0.001,-0.001,0,215.3434326,-40.3942443,28.1989000,0.0611000,-0.0609000
HD 125612 b,HD 125612,2,3,0.060,0.060,-0.060,0,215.2227183,-17.4818147,57.6207000,0.1644000,-0.1635000
HD 125612 c,HD 125612,2,3,0.060,0.060,-0.060,0,215.2227183,-17.4818147,57.6207000,0.1644000,-0.1635000
HD 125612 d,HD 125612,2,3,0.060,0.060,-0.060,0,215.2227183,-17.4818147,57.6207000,0.1644000,-0.1635000
HD 12648 b,HD 12648,1,1,1.753,0.004,-0.004,0,34.7480718,85.7365329,182.1920000,0.9510000,-0.9410000
HD 126525 b,HD 126525,1,1,-0.040,0.001,-0.001,0,216.8852514,-51.9329118,37.6506000,0.0665000,-0.0663000
HD 12661 b,HD 12661,1,2,0.133,0.010,-0.010,0,31.1423525,25.4135632,37.8478000,0.0633000,-0.0630000
HD 12661 c,HD 12661,1,2,0.063,0.063,-0.063,0,31.1423525,25.4135632,37.8478000,0.0633000,-0.0630000
HD 126614 b,HD 126614,3,1,0.083,0.063,-0.074,0,216.7005171,-5.1784093,73.0961000,0.2453000,-0.2436000
HD 127506 b,HD 127506,1,1,-0.663,0.028,-0.017,0,217.6848544,35.4546059,22.5279000,0.0189000,-0.0190000
HD 128311 b,HD 128311,1,2,-0.512,0.001,-0.001,0,219.0032292,9.7454368,16.3292000,0.0199000,-0.0198000
HD 128311 c,HD 128311,1,2,-0.512,0.001,-0.001,0,219.0032292,9.7454368,16.3292000,0.0199000,-0.0198000
HD 128356 b,HD 128356,1,1,-0.444,0.012,-0.012,0,219.2702793,-25.8031728,26.1548000,0.0446000,-0.0445000
HD 129445 b,HD 129445,1,1,0.090,0.002,-0.002,0,221.5104196,-68.7629901,67.4386000,0.1609000,-0.1601000
HD 130322 b,HD 130322,1,1,-0.235,0.001,-0.001,0,221.8857975,-0.2820782,31.8766000,0.0729000,-0.0727000
HD 131496 b,HD 131496,1,1,0.991,0.022,-0.023,0,223.3461495,18.2352618,131.8490000,1.1530000,-1.1530000
HD 13167 b,HD 13167,1,1,0.960,0.004,-0.004,0,32.0576350,-24.6955750,148.9340000,1.0920000,-1.0760000
HD 13189 b,HD 13189,1,1,2.636,0.017,-0.018,0,32.4173964,32.3164548,497.8230000,15.5170000,-15.5170000
HD 132406 b,HD 132406,1,1,0.260,0.010,-0.013,0,224.2276121,53.3809615,70.7832000,0.1387000,-0.1381000
HD 132563 b,HD 132563,3,1,0.374,0.019,-0.014,0,224.5892892,44.0428571,105.1550000,0.2820000,-0.2820000
HD 133131 A b,HD 133131 A,2,3,-0.017,0.002,-0.002,0,225.8984524,-27.8431369,51.4736000,0.1491000,-0.1483000
HD 133131 A c,HD 133131 A,2,3,-0.017,0.002,-0.002,0,225.8984524,-27.8431369,51.4736000,0.1491000,-0.1483000
HD 133131 B b,HD 133131 B,2,3,-0.009,0.002,-0.002,0,225.8999745,-27.8415947,51.2993000,0.1684000,-0.1673000
HD 134060 b,HD 134060,1,2,0.158,0.006,-0.006,0,227.6847587,-61.4223747,24.0125000,0.0204000,-0.0203000
HD 134060 c,HD 134060,1,2,0.158,0.006,-0.006,0,227.6847587,-61.4223747,24.0125000,0.0204000,-0.0203000
HD 134606 b,HD 134606,1,5,0.065,0.026,-0.019,0,228.8103897,-70.5203328,26.7909000,0.0204000,-0.0205000
HD 134606 c,HD 134606,1,5,0.065,0.026,-0.019,0,228.8103897,-70.5203328,26.7909000,0.0204000,-0.0205000
HD 134606 d,HD 134606,1,5,0.065,0.026,-0.019,0,228.8103897,-70.5203328,26.7909000,0.0204000,-0.0205000
HD 134606 e,HD 134606,1,5,0.065,0.026,-0.019,0,228.8103897,-70.5203328,26.7909000,0.0204000,-0.0205000
HD 134606 f,HD 134606,1,5,0.065,0.026,-0.019,0,228.8103897,-70.5203328,26.7909000,0.0204000,-0.0205000
HD 134987 b,HD 134987,1,2,0.255,0.033,-0.035,0,228.3675397,-25.3096721,26.1804000,0.0516000,-0.0515000
HD 134987 c,HD 134987,1,2,0.255,0.033,-0.035,0,228.3675397,-25.3096721,26.1804000,0.0516000,-0.0515000
HD 135625 b,HD 135625,1,1,0.344,0.011,-0.015,0,229.4511514,-45.9225871,56.5180000,0.1166000,-0.1160000
HD 135694 b,HD 135694,1,1,0.039,0.024,-0.024,0,227.8678636,71.8412965,73.8713000,0.1439000,-0.1434000
HD 135872 b,HD 135872,1,1,0.937,,,0,229.4213643,-5.2024735,82.4251000,0.3022000,-0.3022000
HD 136118 b,HD 136118,1,1,0.569,0.017,-0.011,0,229.7306046,-1.5922913,51.4359000,0.1984000,-0.1969000
HD 136352 b,HD 136352,1,3,0.016,0.024,-0.025,0,230.4401147,-48.3188174,14.6820000,0.0199000,-0.0198000
HD 136352 c,HD 136352,1,3,0.016,0.024,-0.025,0,230.4401147,-48.3188174,14.6820000,0.0199000,-0.0198000
HD 136352 d,HD 136352,1,3,0.016,0.024,-0.025,0,230.4401147,-48.3188174,14.6820000,0.0199000,-0.0198000
HD 136418 b,HD 136418,1,1,0.833,0.031,-0.033,0,229.7756438,41.7324230,105.1680000,0.3110000,-0.3100000
HD 136925 b,HD 136925,1,1,0.134,0.012,-0.012,0,230.7157509,13.3663117,47.8740000,0.2448000,-0.2423000
HD 13724 c,HD 13724,1,1,0.055,0.012,-0.012,0,33.0859626,-46.8166738,43.4650000,0.0528000,-0.0527000
HD 137388 b,HD 137388,1,1,-0.337,,,0,233.9150820,-80.2044169,40.4841000,0.0540000,-0.0540000
HD 137496 b,HD 137496,1,2,0.366,0.031,-0.018,0,231.7420543,-16.5090014,155.3170000,1.7390000,-1.7020000
HD 137496 c,HD 137496,1,2,0.366,0.031,-0.018,0,231.7420543,-16.5090014,155.3170000,1.7390000,-1.7020000
HD 13808 b,HD 13808,1,2,-0.435,0.001,-0.001,0,33.1780708,-53.7437591,28.2305000,0.0257000,-0.0258000
HD 13808 c,HD 13808,1,2,-0.435,0.001,-0.001,0,33.1780708,-53.7437591,28.2305000,0.0257000,-0.0258000
HD 13908 b,HD 13908,1,2,0.602,,,0,34.5609102,65.5941901,79.5515000,0.2196000,-0.2185000
HD 13908 c,HD 13908,1,2,0.602,,,0,34.5609102,65.5941901,79.5515000,0.2196000,-0.2185000
HD 13931 b,HD 13931,1,1,0.196,0.037,-0.041,0,34.1979991,43.7722065,47.3963000,0.1446000,-0.1438000
HD 139357 b,HD 139357,1,1,1.823,0.004,-0.004,0,233.8173564,53.9221505,112.0900000,0.6980000,-0.6980000
HD 1397 b,HD 1397,1,1,0.660,0.014,-0.015,0,4.4471631,-66.3589285,79.5702000,0.1738000,-0.1731000
HD 14067 b,HD 14067,1,1,1.898,0.061,-0.072,0,34.2933480,23.7676546,142.0240000,0.8450000,-0.8350000
HD 140901 b,HD 140901,1,2,-0.102,0.005,-0.006,0,236.8689866,-37.9172333,15.2528000,0.0112000,-0.0112000
HD 140901 c,HD 140901,1,2,-0.102,0.005,-0.006,0,236.8689866,-37.9172333,15.2528000,0.0112000,-0.0112000
HD 141004 b,HD 141004,1,1,0.346,0.012,-0.012,0,236.6099205,7.3527684,11.8148000,0.0361000,-0.0359000
HD 141399 b,HD 141399,1,4,0.201,0.095,-0.122,0,236.7235392,46.9862880,37.0169000,0.0330000,-0.0329000
HD 141399 c,HD 141399,1,4,0.201,0.095,-0.122,0,236.7235392,46.9862880,37.0169000,0.0330000,-0.0329000
HD 141399 d,HD 141399,1,4,0.201,0.095,-0.122,0,236.7235392,46.9862880,37.0169000,0.0330000,-0.0329000
HD 141399 e,HD 141399,1,4,0.201,0.095,-0.122,0,236.7235392,46.9862880,37.0169000,0.0330000,-0.0329000
HD 141937 b,HD 141937,1,1,0.022,0.073,-0.073,0,238.0735585,-18.4359716,33.3622000,0.0719000,-0.0717000
HD 142 A d,HD 142,2,3,0.474,0.001,-0.001,0,1.5836771,-49.0753625,26.1853000,0.0449000,-0.0446000
HD 142 b,HD 142,2,3,0.474,0.001,-0.001,0,1.5836771,-49.0753625,26.1853000,0.0449000,-0.0446000
HD 142 c,HD 142,2,3,0.474,0.001,-0.001,0,1.5836771,-49.0753625,26.1853000,0.0449000,-0.0446000
HD 142022 A b,HD 142022 A,2,1,0.004,,,0,242.5481731,-84.2317494,34.2802000,0.0315000,-0.0315000
HD 142245 b,HD 142245,3,1,1.130,0.016,-0.016,0,238.2342443,15.4306118,97.2305000,0.3914000,-0.3914000
HD 142415 b,HD 142415,1,1,0.060,,,0,239.4189890,-60.2006948,35.5318000,0.0418000,-0.0417000
HD 143105 b,HD 143105,1,1,0.556,0.001,-0.001,0,238.4023547,68.7199779,46.7789000,0.0435000,-0.0433000
HD 143361 b,HD 143361,1,1,-0.092,0.031,-0.033,0,240.4588405,-44.4350575,68.5146000,0.2971000,-0.2946000
HD 144899 b,HD 144899,1,1,0.537,0.018,-0.017,0,242.5721002,-47.9146826,115.6650000,0.5120000,-0.5070000
HD 145377 b,HD 145377,1,1,0.193,0.045,-0.050,0,242.9019658,-27.0781199,53.4884000,0.1440000,-0.1431000
HD 145457 b,HD 145457,1,1,1.655,0.072,-0.087,0,242.5162215,26.7429068,135.2920000,0.4035000,-0.4035000
HD 145675 c,14 Her,1,2,-0.151,0.000,0.000,0,242.6021014,43.8163621,17.9323000,0.0073000,-0.0073000
HD 145934 b,HD 145934,1,1,1.355,0.006,-0.006,0,243.2912249,13.2394527,227.8810000,2.3975000,-2.3975000
HD 1461 b,HD 1461,1,2,0.095,0.012,-0.009,0,4.6762645,-8.0536206,23.4534000,0.0309000,-0.0309000
HD 1461 c,HD 1461,1,2,0.097,0.001,-0.001,0,4.6762645,-8.0536206,23.4534000,0.0309000,-0.0309000
HD 147018 b,HD 147018,1,2,-0.148,0.001,-0.001,0,245.7490012,-61.6901291,40.4256000,0.0716000,-0.0713000
HD 147018 c,HD 147018,1,2,-0.148,0.001,-0.001,0,245.7490012,-61.6901291,40.4256000,0.0716000,-0.0713000
HD 147379 b,HD 147379,2,1,-1.097,0.051,-0.058,0,244.1725686,67.2392041,10.7643000,0.0036500,-0.0036500
HD 147513 b,HD 147513,2,1,-0.010,,,0,246.0057894,-39.1929661,12.9032000,0.0234000,-0.0233000
HD 14787 b,HD 14787,1,1,1.115,0.004,-0.004,0,35.8085099,10.8367972,119.1370000,0.7555000,-0.7555000
HD 147873 b,HD 147873,2,2,0.777,0.043,-0.047,0,246.4380471,-33.5672217,109.0550000,1.0210000,-1.0020000
HD 147873 c,HD 147873,2,2,0.777,0.043,-0.047,0,246.4380471,-33.5672217,109.0550000,1.0210000,-1.0020000
HD 148156 b,HD 148156,1,1,0.250,,,0,247.0723035,-46.3175085,57.1289000,0.1488000,-0.1481000
HD 148164 b,HD 148164,1,2,0.330,0.070,-0.070,0,246.4351678,11.9190729,77.1971000,0.3014000,-0.2992000
HD 148164 c,HD 148164,1,2,0.330,0.070,-0.070,0,246.4351678,11.9190729,77.1971000,0.3014000,-0.2992000
HD 148427 b,HD 148427,1,1,0.780,0.050,-0.060,0,247.1171311,-13.3996231,71.3499000,0.3070500,-0.3070500
HD 149026 b,HD 149026,1,1,0.480,0.030,-0.030,0,247.6229827,38.3475349,75.8643000,0.1740000,-0.1733000
HD 149143 b,HD 149143,1,1,0.350,0.050,-0.050,0,248.2126715,2.0844547,73.2801000,0.3623000,-0.3588000
HD 149806 b,HD 149806,1,1,-0.245,0.011,-0.009,0,249.2855187,0.2546794,20.2727000,0.0179000,-0.0179000
HD 150010 b,HD 150010,1,1,1.982,0.005,-0.005,0,247.8670682,72.6125804,144.4900000,0.6730000,-0.6730000
HD 1502 b,HD 1502,1,1,1.064,0.018,-0.019,0,4.8214389,14.0546830,190.9530000,2.7675000,-2.7675000
HD 150706 b,HD 150706,1,1,0.032,0.001,-0.001,0,247.8255687,79.7894032,28.2697000,0.0229000,-0.0228000
HD 151450 b,HD 151450,1,2,0.231,0.014,-0.014,0,252.0080127,-15.9643450,43.6002000,0.1302000,-0.1295000
HD 151450 c,HD 151450,1,2,0.231,0.014,-0.014,0,252.0080127,-15.9643450,43.6002000,0.1302000,-0.1295000
HD 152079 b,HD 152079,1,1,0.107,0.051,-0.058,0,253.3732313,-46.3333582,87.8888000,0.3583000,-0.3554000
HD 152581 b,HD 152581,1,1,1.173,0.017,-0.018,0,253.4316451,11.9736828,165.7600000,1.1715000,-1.1715000
HD 152843 b,HD 152843,1,2,0.450,0.020,-0.017,0,253.7848853,20.4915240,107.8980000,0.3180000,-0.3160000
HD 152843 c,HD 152843,1,2,0.450,0.020,-0.017,0,253.7848853,20.4915240,107.8980000,0.3180000,-0.3160000
HD 15337 b,HD 15337,1,2,-0.326,0.021,-0.023,0,36.8678846,-27.6361171,44.8155000,0.0707000,-0.0704000
HD 15337 c,HD 15337,1,2,-0.326,0.021,-0.023,0,36.8678846,-27.6361171,44.8155000,0.0707000,-0.0704000
HD 153557 b,HD 153557,1,3,-0.562,0.016,-0.013,0,254.4706516,47.3678558,17.9412000,0.0084000,-0.0084000
HD 153557 c,HD 153557,1,3,-0.562,0.016,-0.013,0,254.4706516,47.3678558,17.9412000,0.0084000,-0.0084000
HD 153557 d,HD 153557,1,3,-0.562,0.016,-0.013,0,254.4706516,47.3678558,17.9412000,0.0084000,-0.0084000
HD 153950 b,HD 153950,1,1,0.346,0.032,-0.035,0,256.1292826,-43.3103753,48.4549000,0.1168000,-0.1163000
HD 154088 b,HD 154088,1,1,-0.131,,,0,256.1164214,-28.5838342,18.2692000,0.0158000,-0.0157000
HD 154345 b,HD 154345,1,1,-0.219,0.010,-0.011,0,255.6524619,47.0855544,18.2840000,0.0072000,-0.0071000
HD 154391 b,HD 154391,1,1,1.581,0.011,-0.011,0,255.3201345,60.6489226,100.9470000,0.2480000,-0.2480000
HD 154672 b,HD 154672,1,1,0.257,0.008,-0.014,0,257.5206970,-56.4498041,63.0484000,0.1947000,-0.1936000
HD 154857 b,HD 154857,1,2,0.663,0.007,-0.015,0,257.8161940,-56.6810380,63.4482000,0.1565000,-0.1558000
